Site,Date,Turbidity(NTU) at 12AM,Turbidity(NTU) at 4AM,Turbidity(NTU) at 8AM,Turbidity(NTU) at 12PM,Turbidity(NTU) at 4PM,Turbidity(NTU) at 8PM,Average 24hrTurbidity(NTU),"Coliform, Fecal(fc/100mL)"
DEL18DT,2020-09-07,0.8,0.75,0.7,0.7,0.7,0.75,0.73,<1
DEL18DT,2020-09-30,0.7,0.6,0.7,0.65,0.65,0.75,0.68,43
DEL18DT,2020-09-10,0.65,0.75,0.7,0.75,0.9,0.8,0.76,E1
DEL18DT,2020-09-19,0.65,0.7,0.7,0.75,0.75,0.7,0.71,E1
DEL18DT,2020-09-06,0.8,0.75,0.75,0.8,0.8,0.75,0.78,E1
DEL18DT,2020-09-26,0.65,0.6,0.65,0.6,0.65,0.7,0.64,<1
DEL18DT,2020-09-11,0.8,0.75,0.65,0.7,0.6,0.6,0.68,E2
DEL18DT,2020-09-12,0.6,0.6,0.65,0.65,0.65,0.65,0.63,<1
DEL18DT,2020-09-20,0.7,0.75,0.75,0.8,0.9,0.8,0.78,E1
DEL18DT,2020-09-27,0.65,0.65,0.65,0.65,0.6,0.65,0.64,<1
DEL18DT,2020-09-01,0.7,0.65,0.65,0.7,0.65,0.7,0.68,E6
DEL18DT,2020-09-08,0.75,0.7,0.65,0.65,0.7,0.7,0.69,E1
DEL18DT,2020-09-15,0.7,0.65,0.7,0.7,0.7,0.7,0.69,E3
DEL18DT,2020-09-13,0.65,0.65,0.65,0.7,0.75,0.8,0.7,<1
DEL18DT,2020-09-09,0.7,0.75,0.75,0.7,0.65,0.65,0.7,E1
DEL18DT,2020-09-22,0.7,0.7,0.7,0.65,0.7,0.65,0.68,<1
DEL18DT,2020-09-04,0.75,0.7,0.7,0.8,0.75,0.75,0.74,E3
DEL18DT,2020-09-03,0.7,0.7,0.75,0.75,0.75,0.7,0.73,E1
DEL18DT,2020-09-23,0.65,0.65,0.7,0.7,0.7,0.75,0.69,E1
DEL18DT,2020-09-25,0.7,0.75,0.65,0.7,0.65,0.7,0.69,<1
DEL18DT,2020-09-14,0.8,0.8,0.7,0.65,0.7,0.7,0.73,<1
DEL18DT,2020-09-05,0.75,0.75,0.7,0.75,0.8,0.8,0.76,E1
DEL18DT,2020-09-16,0.7,0.7,0.7,0.7,0.7,0.75,0.71,E1
DEL18DT,2020-09-21,0.8,0.75,0.8,0.7,0.75,0.75,0.76,E1
DEL18DT,2020-09-28,0.65,0.65,0.6,0.65,0.75,0.7,0.67,<1
DEL18DT,2020-09-29,0.75,0.65,0.65,0.65,0.65,0.6,0.66,E1
DEL18DT,2020-10-08,0.7,0.7,0.65,0.6,0.6,0.65,0.65,E1
DEL18DT,2020-10-15,0.85,0.8,0.75,0.8,0.75,0.7,0.78,E3
DEL18DT,2020-10-28,0.7,0.75,0.7,0.9,0.9,0.75,0.78,E2
DEL18DT,2020-10-01,0.75,0.75,0.75,0.8,0.85,0.75,0.78,E10
DEL18DT,2020-10-07,0.8,0.75,0.8,0.7,0.7,0.65,0.73,E1
DEL18DT,2020-10-05,0.75,0.65,0.7,0.7,0.65,0.7,0.69,E3
DEL18DT,2020-10-16,0.7,0.8,0.75,0.65,0.65,0.65,0.7,E1
DEL18DT,2020-10-17,0.7,0.7,0.65,0.65,0.65,0.75,0.68,<1
DEL18DT,2020-10-14,0.6,0.65,0.7,0.8,0.8,0.75,0.72,E2
DEL18DT,2020-10-22,0.7,0.65,0.7,0.75,0.8,0.75,0.73,E1
DEL18DT,2020-10-31,0.65,0.7,0.7,0.65,0.65,0.7,0.68,E1
DEL18DT,2020-10-13,0.95,1,0.9,0.65,0.7,0.7,0.82,E1
DEL18DT,2020-10-20,0.65,0.65,0.65,0.7,0.75,0.75,0.69,E6
DEL18DT,2020-10-04,0.7,0.65,0.7,0.7,0.7,0.7,0.69,E6
DEL18DT,2020-10-24,0.65,0.65,0.6,0.65,0.7,0.7,0.66,E1
DEL18DT,2020-10-25,0.85,0.75,0.7,0.75,0.75,0.75,0.76,E2
DEL18DT,2020-10-23,0.75,0.7,0.75,0.65,0.6,0.6,0.68,E8
DEL18DT,2020-10-06,0.7,0.65,0.65,0.75,0.8,0.75,0.72,E2
DEL18DT,2020-10-03,0.7,0.65,0.65,0.7,0.65,0.7,0.68,E5
DEL18DT,2020-10-29,0.9,0.8,0.95,0.85,0.75,0.7,0.83,E1
DEL18DT,2020-10-10,0.65,0.65,0.6,0.65,0.7,0.75,0.67,E3
DEL18DT,2020-10-18,0.65,0.6,0.75,0.75,0.75,0.8,0.72,E3
DEL18DT,2020-10-09,0.6,0.6,0.6,0.65,0.65,0.65,0.63,E2
DEL18DT,2020-10-12,1,1,1,0.9,1.1,1,1,E6
DEL18DT,2020-10-19,0.75,0.75,0.7,0.7,0.65,0.65,0.7,E1
DEL18DT,2020-10-30,0.85,0.75,0.65,0.6,0.7,0.7,0.71,E4
DEL18DT,2020-10-26,0.7,0.7,0.75,0.8,0.85,0.9,0.78,E1
DEL18DT,2020-10-21,0.75,0.75,0.65,0.7,0.7,0.75,0.72,E2
DEL18DT,2020-10-27,0.8,0.75,0.8,0.75,0.75,0.75,0.77,E1
DEL18DT,2020-10-11,0.7,0.75,0.75,0.75,0.75,0.85,0.76,E2
DEL18DT,2020-10-02,0.75,0.7,0.7,0.7,0.65,0.65,0.69,E10
DEL18DT,2020-11-05,0.9,0.85,0.85,0.85,0.9,1.1,0.91,E1
DEL18DT,2020-11-15,0.65,0.7,0.75,0.75,0.75,0.75,0.73,E3
DEL18DT,2020-11-03,0.8,0.8,0.8,0.85,0.7,0.8,0.79,E2
DEL18DT,2020-11-13,0.8,0.85,0.75,0.7,0.75,0.7,0.76,E10
DEL18DT,2020-11-23,0.75,0.9,0.95,0.85,0.9,0.9,0.88,E4
DEL18DT,2020-11-24,0.75,0.75,0.8,0.75,0.75,0.7,0.75,E2
DEL18DT,2020-06-22,0.8,0.9,0.7,0.7,0.7,0.8,0.77,<1
DEL18DT,2020-06-16,0.8,0.85,0.85,0.8,0.75,0.85,0.82,E1
DEL18DT,2020-06-24,0.85,0.85,0.75,0.8,0.9,0.85,0.83,<1
DEL18DT,2020-06-15,0.75,0.75,0.7,0.8,0.75,0.8,0.76,<1
DEL18DT,2020-06-19,0.75,0.8,0.8,0.75,0.65,0.7,0.74,<1
DEL18DT,2020-06-27,0.85,0.8,0.75,0.75,0.75,0.8,0.78,E1
DEL18DT,2020-06-03,0.8,0.8,0.75,0.8,0.75,0.8,0.78,<1
DEL18DT,2020-06-17,0.8,0.85,0.8,0.75,0.8,0.8,0.8,<1
